,date,currency,code,bid,ask
5040,2019-05-30,korona dunska,DKK,0.5683,0.5797
5041,2019-05-30,korona norweska,NOK,0.4359,0.4447
5042,2019-05-30,korona szwedzka,SEK,0.4002,0.4082
5043,2019-05-30,SDR (MFW),XDR,5.2441,5.3501
5044,2019-05-31,dolar amerykanski,USD,3.8035,3.8803
5045,2019-05-31,dolar australijski,AUD,2.6325,2.6857
5046,2019-05-31,dolar kanadyjski,CAD,2.8115,2.8683
5047,2019-05-31,euro,EUR,4.2443,4.3301
5048,2019-05-31,forint (Wegry),HUF,0.013077000000000002,0.013341
5049,2019-05-31,frank szwajcarski,CHF,3.784,3.8604
5050,2019-05-31,funt szterling,GBP,4.7885,4.8853
5051,2019-05-31,jen (Japonia),JPY,0.034954,0.035660000000000004
5052,2019-05-31,korona czeska,CZK,0.1643,0.1677
5053,2019-05-31,korona dunska,DKK,0.5683,0.5797
5054,2019-05-31,korona norweska,NOK,0.4338,0.4426
5055,2019-05-31,korona szwedzka,SEK,0.3992,0.4072
5056,2019-05-31,SDR (MFW),XDR,5.2495,5.3555
5057,2019-06-03,dolar amerykanski,USD,3.7815,3.8579
5058,2019-06-03,dolar australijski,AUD,2.6324,2.6856
5059,2019-06-03,dolar kanadyjski,CAD,2.8022,2.8588
5060,2019-06-03,euro,EUR,4.2360000000000015,4.3216
5061,2019-06-03,forint (Wegry),HUF,0.013104,0.013368
5062,2019-06-03,frank szwajcarski,CHF,3.7908,3.8674
5063,2019-06-03,funt szterling,GBP,4.7789,4.8755
5064,2019-06-03,jen (Japonia),JPY,0.034927,0.035633
5065,2019-06-03,korona czeska,CZK,0.16399999999999998,0.1674
5066,2019-06-03,korona dunska,DKK,0.5672,0.5786
5067,2019-06-03,korona norweska,NOK,0.4335,0.4423
5068,2019-06-03,korona szwedzka,SEK,0.3987,0.4067
5069,2019-06-03,SDR (MFW),XDR,5.2332,5.339
5070,2018-11-29,dolar amerykanski,USD,3.7298,3.8052
5071,2018-11-29,dolar australijski,AUD,2.7310000000000003,2.7862
5072,2018-11-29,dolar kanadyjski,CAD,2.8117,2.8685
5073,2018-11-29,euro,EUR,4.2468,4.3326
5074,2018-11-29,forint (Wegry),HUF,0.013123,0.013388999999999998
5075,2018-11-29,frank szwajcarski,CHF,3.7448,3.8204
5076,2018-11-29,funt szterling,GBP,4.7674,4.8638
5077,2018-11-29,jen (Japonia),JPY,0.032924,0.033589999999999995
5078,2018-11-29,korona czeska,CZK,0.1636,0.16699999999999998
5079,2018-11-29,korona dunska,DKK,0.5691,0.5805
5080,2018-11-29,korona norweska,NOK,0.4371,0.4459
5081,2018-11-29,korona szwedzka,SEK,0.4115,0.4199
5082,2018-11-29,SDR (MFW),XDR,5.1925,5.2973
5083,2018-11-30,dolar amerykanski,USD,3.746,3.8216
5084,2018-11-30,dolar australijski,AUD,2.7327,2.7879
5085,2018-11-30,dolar kanadyjski,CAD,2.8122,2.869
5086,2018-11-30,euro,EUR,4.2474,4.3332
5087,2018-11-30,forint (Wegry),HUF,0.013119,0.013385
5088,2018-11-30,frank szwajcarski,CHF,3.7489,3.8247
5089,2018-11-30,funt szterling,GBP,4.7737,4.8701
5090,2018-11-30,jen (Japonia),JPY,0.032983,0.033649
5091,2018-11-30,korona czeska,CZK,0.1636,0.16699999999999998
5092,2018-11-30,korona dunska,DKK,0.5692,0.5806
5093,2018-11-30,korona norweska,NOK,0.4356,0.4444
5094,2018-11-30,korona szwedzka,SEK,0.4114,0.4198
5095,2018-11-30,SDR (MFW),XDR,5.1598,5.2639999999999985
5096,2018-12-03,dolar amerykanski,USD,3.7349,3.8103
5097,2018-12-03,dolar australijski,AUD,2.7534,2.809
5098,2018-12-03,dolar kanadyjski,CAD,2.8348,2.892
5099,2018-12-03,euro,EUR,4.2382,4.3238
5100,2018-12-03,forint (Wegry),HUF,0.013127000000000002,0.013393
5101,2018-12-03,frank szwajcarski,CHF,3.7448,3.8204
5102,2018-12-03,funt szterling,GBP,4.7532,4.8492
5103,2018-12-03,jen (Japonia),JPY,0.032902,0.033566000000000006
5104,2018-12-03,korona czeska,CZK,0.1633,0.1667
5105,2018-12-03,korona dunska,DKK,0.568,0.5794
5106,2018-12-03,korona norweska,NOK,0.4369,0.4457
5107,2018-12-03,korona szwedzka,SEK,0.4132,0.4216
5108,2018-12-03,SDR (MFW),XDR,5.1610000000000005,5.2652
5109,2018-12-04,dolar amerykanski,USD,3.7228,3.798
5110,2018-12-04,dolar australijski,AUD,2.7439,2.7993
5111,2018-12-04,dolar kanadyjski,CAD,2.8182,2.8752
5112,2018-12-04,euro,EUR,4.2397,4.3253
5113,2018-12-04,forint (Wegry),HUF,0.01311,0.013374
5114,2018-12-04,frank szwajcarski,CHF,3.7392,3.8148
5115,2018-12-04,funt szterling,GBP,4.7474,4.8434
5116,2018-12-04,jen (Japonia),JPY,0.032999,0.033665
5117,2018-12-04,korona czeska,CZK,0.1635,0.1669
5118,2018-12-04,korona dunska,DKK,0.5681,0.5795
5119,2018-12-04,korona norweska,NOK,0.4395,0.4483
5120,2018-12-04,korona szwedzka,SEK,0.4145,0.4229
5121,2018-12-04,SDR (MFW),XDR,5.1724,5.2768
5122,2018-12-05,dolar amerykanski,USD,3.7458,3.8214
5123,2018-12-05,dolar australijski,AUD,2.7235,2.7785
5124,2018-12-05,dolar kanadyjski,CAD,2.8192,2.8762
5125,2018-12-05,euro,EUR,4.2417,4.3273
5126,2018-12-05,forint (Wegry),HUF,0.013107,0.013371
5127,2018-12-05,frank szwajcarski,CHF,3.7463,3.8219
5128,2018-12-05,funt szterling,GBP,4.7624,4.8586
5129,2018-12-05,jen (Japonia),JPY,0.033101,0.033769
5130,2018-12-05,korona czeska,CZK,0.1636,0.16699999999999998
5131,2018-12-05,korona dunska,DKK,0.5684,0.5798
5132,2018-12-05,korona norweska,NOK,0.4399,0.4487
5133,2018-12-05,korona szwedzka,SEK,0.4167,0.4251
5134,2018-12-05,SDR (MFW),XDR,5.1586,5.2628
5135,2018-12-06,dolar amerykanski,USD,3.7212,3.7964
5136,2018-12-06,dolar australijski,AUD,2.6878,2.742
5137,2018-12-06,dolar kanadyjski,CAD,2.7754,2.8314
5138,2018-12-06,euro,EUR,4.2407,4.3263
5139,2018-12-06,forint (Wegry),HUF,0.013111,0.013375
5140,2018-12-06,frank szwajcarski,CHF,3.7553,3.8311
5141,2018-12-06,funt szterling,GBP,4.7563,4.8523
5142,2018-12-06,jen (Japonia),JPY,0.033125,0.033795
5143,2018-12-06,korona czeska,CZK,0.1636,0.16699999999999998
5144,2018-12-06,korona dunska,DKK,0.5682,0.5796
5145,2018-12-06,korona norweska,NOK,0.4368,0.4456
5146,2018-12-06,korona szwedzka,SEK,0.414,0.4224
5147,2018-12-06,SDR (MFW),XDR,5.1734,5.278
5148,2018-12-07,dolar amerykanski,USD,3.726,3.8012
5149,2018-12-07,dolar australijski,AUD,2.6955,2.7499
5150,2018-12-07,dolar kanadyjski,CAD,2.8084,2.8652
5151,2018-12-07,euro,EUR,4.2425,4.3283
5152,2018-12-07,forint (Wegry),HUF,0.013141,0.013407
5153,2018-12-07,frank szwajcarski,CHF,3.754,3.8298
5154,2018-12-07,funt szterling,GBP,4.753,4.849
